Protein,LFQ intensity Col0-1-B,LFQ intensity Col0-2-B,LFQ intensity SUVH7-FLAG-T3-8-2-A,LFQ intensity SUVH7-FLAG-T4-2-1-A,LFQ intensity SUVH8-FLAG-T2-9-A,LFQ intensity SUVH8-FLAG-T3-1-3-A,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT2G19570,0,0,0,0,0,0,0,0,0,4,2,1
AT5G20630,0,0,0,0,0,0,0,0,5,3,2,0
AT3G03250,0,0,0,0,0,0,0,0,1,3,2,0
AT3G13920,0,0,0,0,0,0,0,0,0,3,2,0
AT5G59890,0,0,0,0,0,0,0,0,0,3,2,0
AT3G61430,0,0,0,0,0,0,0,0,0,3,2,2
AT5G03300,0,0,0,5932000,5620300,10399000,0,0,0,3,2,4
AT4G09320,0,0,1480500,772800,0,0,0,0,3,2,2,0
AT1G11840,0,0,0,3181700,2624600,0,0,0,1,2,2,0
AT1G17100,0,0,0,0,0,0,0,0,1,2,2,0
ATCG00660,0,0,0,0,0,0,0,0,1,2,2,0
AT1G61720,0,0,0,0,0,0,0,0,1,2,2,1
AT4G39260,0,0,0,0,4070100,6420200,0,0,1,2,2,1
AT5G48375,0,0,0,0,0,0,0,0,1,2,2,1
AT2G16780,0,0,0,0,0,0,0,0,0,2,2,0
AT4G29010,0,0,0,0,0,0,0,0,0,2,2,0
AT5G20000,0,0,0,0,0,0,0,0,0,2,2,0
AT4G24130,0,0,0,0,0,0,0,0,0,2,2,1
AT4G14030,0,0,0,0,0,0,0,0,1,1,2,0
AT5G07440,0,0,0,0,0,0,0,0,1,1,2,0
AT3G57560,0,0,0,0,0,0,0,0,1,1,2,1
AT1G09640,0,0,0,0,0,0,0,0,0,1,2,0
AT1G12900,0,0,0,0,0,0,0,0,0,1,2,0
AT2G35370,0,0,0,0,0,0,0,0,0,1,2,0
AT3G55410,0,0,0,0,0,0,0,0,0,1,2,0
AT5G20830,0,0,0,0,0,0,0,0,0,1,2,0
AT4G11010,0,0,0,0,0,0,0,0,0,1,2,1
AT5G64350,0,0,0,0,0,0,0,0,0,1,2,1
AT1G29250,0,0,0,0,0,0,0,0,0,0,2,0
AT1G75040,0,0,0,0,0,0,0,0,0,0,2,0
AT2G42600,0,0,0,0,0,0,0,0,0,0,2,0
AT3G10595,0,0,0,0,0,0,0,0,0,0,2,0
AT3G16080,0,0,0,0,0,0,0,0,0,0,2,0
AT4G24190,0,0,0,0,0,0,0,0,0,0,2,0
AT5G27030,0,0,0,0,0,0,0,0,0,0,2,0
AT5G34850,0,0,0,0,0,0,0,0,0,0,2,0
AT5G56740,0,0,0,0,0,0,0,0,0,0,2,0
AT5G38430,0,0,8639400,8562600,5867900,0,0,1,2,2,2,1
AT5G22060,0,0,0,0,0,0,0,0,0,21,1,0
AT3G20050,0,0,0,6160300,361910,0,0,0,0,17,1,1
AT5G20890,0,0,0,0,0,0,0,0,1,15,1,0
AT1G12310,0,0,2904200,4978600,2042800,0,0,0,3,14,1,2
AT5G26360,0,0,0,0,0,0,0,0,1,14,1,0
AT3G02530,0,0,0,0,0,0,0,0,1,10,1,0
