Protein,LFQ intensity Col0-1-B,LFQ intensity Col0-2-B,LFQ intensity SUVH7-FLAG-T3-8-2-A,LFQ intensity SUVH7-FLAG-T4-2-1-A,LFQ intensity SUVH8-FLAG-T2-9-A,LFQ intensity SUVH8-FLAG-T3-1-3-A,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT5G39280,9510900,0,12015000,7898400,9621500,12877000,3,0,5,8,8,5
AT2G34480,10522000,0,9320300,7373400,7048000,6585600,3,2,5,9,8,4
AT3G04120,7652300,0,8311400,5984500,7022800,6170000,3,0,8,10,7,5
AT1G54270,1868900,0,2177100,7462100,2165200,1517000,3,1,8,15,6,3
AT1G74060,9565500,0,8514100,4229000,4547100,3818000,3,0,5,8,4,5
AT5G35630,4913300,0,0,5632600,5004400,0,3,0,2,4,4,0
AT4G20360,0,0,0,0,0,0,3,0,1,3,4,0
AT5G66190,0,0,3194300,2012800,2984600,0,3,0,5,5,3,2
AT3G49910,5972200,0,4450100,5067900,4477100,0,3,0,3,2,3,5
AT2G19520,0,0,0,0,0,0,3,0,0,1,3,3
AT1G69620,7277500,0,0,5454600,0,8391700,3,0,3,7,2,4
AT4G21860,2819500,0,0,2915700,2254300,0,3,0,1,5,2,2
AT5G62700,3927100,0,16508000,45879000,23622000,15773000,4,0,22,79,30,18
AT5G17920,7832000,3323500,9324200,7246000,9264500,9237600,4,1,16,25,20,8
AT3G13470,2067400,0,5325800,33744000,5794300,3760600,4,1,14,53,19,8
AT3G55800,1880600,0,3992800,3181600,6482200,7588000,4,1,9,10,19,10
AT4G38970,7598500,10522000,8835400,6918000,9933800,10805000,4,5,5,9,14,12
AT1G52400,9433400,10110000,8308200,6622500,10700000,7688100,4,3,7,8,8,6
AT2G36530,6464500,0,5753800,5641200,9677500,6488500,4,0,3,8,7,6
AT1G52570,0,0,2487100,1702600,3200400,0,4,0,2,5,7,2
AT5G35200,13375000,0,14703000,6406200,13064000,0,4,1,7,3,7,2
AT3G09200,14105000,0,16012000,9268700,9487600,12132000,4,0,3,7,6,1
AT4G23670,2238800,0,0,2621100,2562200,5704400,4,1,1,6,6,3
AT1G66410,6543000,11042000,8847400,12037000,14012000,27193000,4,4,6,6,6,8
AT5G02500,7488700,0,25055000,60836000,22692000,12271000,5,1,32,58,25,17
AT4G33680,13422000,26620000,14581000,16708000,17886000,33702000,5,7,15,29,23,26
AT3G17390,16697000,0,13636000,13427000,16043000,13509000,5,1,12,11,12,5
AT2G18020,9058100,0,8939900,7287600,6328300,7980700,5,4,6,10,11,3
AT3G11630,9760500,14377000,11032000,7096000,9959300,12446000,5,2,8,7,10,10
AT5G19510,6633400,5949800,7275000,6409000,5421100,5911900,5,3,8,9,9,3
AT1G33960,5770200,0,0,0,2718100,0,5,0,0,0,6,0
AT2G27710,17764000,0,0,13400000,35444000,0,5,1,3,5,4,3
AT1G07890,11637000,0,10790000,11212000,14403000,16091000,6,0,14,21,15,13
AT5G28540,10132000,12015000,10568000,22003000,12881000,16543000,6,5,14,36,15,15
AT5G09810,7672200,6435800,12356000,20118000,8654100,10496000,6,2,17,40,14,7
AT4G12960,14707000,10363000,11698000,12952000,13969000,11484000,6,1,6,8,12,6
AT3G49010,14040000,16141000,9863500,8451300,8824600,11029000,6,5,9,11,9,7
AT4G15000,11797000,0,9303100,6448200,6306200,9020300,6,1,7,7,3,7
AT3G09820,19985000,15478000,16458000,15051000,17883000,18735000,7,4,6,16,16,12
AT3G09630,10139000,5943700,8085300,7318100,6554900,8041000,7,4,16,14,13,12
AT5G27850,16891000,18084000,15486000,12034000,12883000,24059000,7,4,9,14,12,6
AT3G62870,13662000,12124000,12614000,10733000,9045200,15455000,7,1,11,10,7,6
AT2G39730,16400000,3958000,25070000,28242000,23657000,12192000,8,2,18,27,23,12
AT5G36160,10874000,13508000,10283000,8119800,15241000,20608000,8,5,17,25,20,18
AT1G67090,62784000,95337000,131140000,71137000,106330000,72973000,8,8,20,18,17,15
AT4G21280,13560000,14017000,15334000,9405800,9422700,12308000,8,6,11,20,11,13
AT3G16640,18982000,35112000,12383000,15354000,15554000,19285000,9,5,6,9,9,8
AT1G71080,82077000,71211000,86350000,44849000,72796000,90680000,10,8,19,23,28,27
AT2G17630,22303000,0,18627000,9468700,21331000,14613000,10,3,22,18,26,11
AT5G24780,92230000,75257000,80989000,57170000,59039000,69722000,10,7,20,21,16,11
AT4G17390,21492000,25614000,17940000,14630000,16881000,18595000,10,9,18,14,12,17
AT5G02490,13638000,8155100,183940000,1390900000,190190000,113070000,11,6,107,432,119,71
AT1G56070,12135000,6887900,14936000,26073000,14823000,14914000,11,4,25,55,32,21
AT3G44690,11603000,0,6675000,5693000,8921100,9970600,11,0,9,14,16,10
AT4G35090,8262200,11602000,7914300,7833500,8891800,12640000,11,4,15,15,11,16
AT2G29560,15815000,2006600,24862000,18228000,36435000,28480000,12,2,23,25,54,24
AT5G25980,21125000,0,15886000,7536700,27686000,8582400,13,0,14,16,34,8
AT1G43170,16619000,15596000,13763000,10703000,11859000,15000000,13,9,18,25,17,17
AT5G52040,65330000,29669000,141210000,115970000,174930000,192970000,15,10,61,69,90,70
AT3G44320,1609200000,9029800000,2548300000,1424400000,1050500000,2368000000,15,23,34,40,67,44
AT1G20620,13301000,19350000,16262000,19412000,20066000,32007000,15,7,27,46,35,29
AT3G23600,117080000,129720000,111180000,71527000,110700000,126440000,15,10,33,30,23,19
AT4G37800,54798000,51817000,53388000,45577000,63820000,61550000,15,10,19,22,22,14
AT5G38420,117250000,136920000,179400000,109090000,136890000,126540000,17,11,41,44,46,31
AT4G35630,191990000,79318000,168620000,73969000,153720000,119840000,29,20,72,62,73,48
AT1G19480,602280000,616630000,615830000,282410000,645650000,454250000,58,51,104,84,97,78
ATCG00490,170610000,258570000,235600000,158020000,201830000,198690000,67,52,110,139,112,88
AT3G15730,169680000,75853000,137450000,96997000,156460000,177900000,79,23,94,114,126,95
AT3G08590,512470000,294290000,643340000,350620000,440280000,433100000,80,41,118,127,124,68
