Protein,WT,WT,AT1G17770,AT1G177701
AT3G45030,0,2,0,2
AT3G48420,0,2,0,2
AT3G54860,0,0,0,2
AT3G55120,0,0,0,2
AT3G59540,0,0,0,2
AT3G62870,0,2,0,2
AT3G63140,0,0,0,2
AT4G13850,0,0,0,2
AT4G39800,0,2,0,2
AT5G10470,0,2,0,2
AT5G13680,0,2,0,2
AT5G18570,0,0,0,2
AT5G19370,0,0,0,2
AT5G48580,0,0,0,2
AT5G48810,0,0,0,2
AT5G62300,0,2,0,2
AT1G04510,0,2,0,0
AT1G04710,0,2,0,0
AT1G08360,0,2,0,0
AT1G12910,0,2,0,0
AT1G22840,0,2,0,0
AT1G73230,0,2,0,0
AT2G27530,0,2,0,0
AT2G28760,0,2,0,0
AT2G36620,0,2,0,0
AT3G06730,0,2,0,0
AT3G16520,0,2,0,0
AT4G36740,0,4,0,0
AT3G46440,0,2,0,0
AT3G47650,0,2,0,0
AT3G50820,0,3,0,0
AT3G53020,0,2,0,0
AT3G58750,0,2,0,0
AT4G09010,0,2,0,0
AT4G10040,0,2,0,0
AT4G28980,0,2,0,0
AT4G29730,0,3,0,0
AT4G31700,0,2,0,0
AT5G04140,0,2,0,0
AT5G04710,0,2,0,0
AT5G05270,0,3,0,0
AT5G10170,0,2,0,0
AT5G13930,0,3,0,0
AT5G22440,0,2,0,0
AT5G55230,0,2,0,0
AT5G57870,0,2,0,0
AT5G59240,0,2,0,0
AT5G59290,0,2,0,0
AT5G66570,0,3,0,0
AT2G23350,2,2,10,2
AT4G21710,2,5,8,3
AT2G47730,2,5,7,6
AT5G60790,2,3,7,4
AT3G11910,2,0,7,2
AT2G15430,2,2,7,0
AT4G26530,2,9,6,5
AT4G29350,2,5,6,3
AT1G68560,2,2,6,0
AT5G22330,2,0,6,0
AT5G59810,2,3,6,0
AT3G26060,2,7,5,7
AT3G60750,2,0,5,6
AT5G57655,2,3,5,5
AT4G39330,2,0,5,3
AT5G03650,2,0,4,6
AT3G59970,2,4,4,5
AT4G33250,2,5,4,5
AT3G55440,2,2,4,3
AT5G43330,2,2,4,3
AT5G43940,2,3,4,3
AT4G03280,2,2,4,2
AT5G18380,2,2,4,2
AT5G60980,2,4,4,2
AT1G04480,2,0,4,0
AT2G33370,2,0,4,0
AT2G43090,2,4,4,0
