Protein,AT4G36290,WT
AT3G25530,7,2
AT4G08900,11,1
AT2G47940,11,6
AT1G66240,2,1
AT1G75950,4,1
AT5G11710,9,6
AT2G42100,8,3
AT4G14040,14,2
AT3G15360,5,1
AT4G24280,12,7
AT5G56260,4,1
AT5G22580,2,1
AT2G44920,6,1
AT3G15660,4,1
AT4G10320,24,9
AT3G09680,0,1
AT5G02960,3,1
AT2G41530,4,3
AT3G11770,5,1
AT5G26710,11,7
AT1G12840,11,1
AT3G51840,7,4
AT1G23290,3,1
AT1G70600,3,1
AT3G03250,12,2
AT5G14780,9,2
AT1G64520,5,2
AT2G29560,8,4
AT4G38630,5,4
AT1G03680,4,1
AT1G59900,7,3
AT1G72150,13,3
AT1G30580,9,2
AT1G34030,3,1
AT1G22780,3,1
AT4G09800,3,1
AT5G01650,2,1
AT2G26080,14,10
AT2G30870,5,1
AT2G38230,4,3
AT2G03440,2,2
AT2G33430,5,1
AT3G62030,4,3
AT4G01370,8,2
AT5G63860,12,1
AT3G27850,4,1
AT3G27830,4,1
AT2G41840,5,2
AT4G37930,10,3
AT1G28290,7,2
AT5G35360,9,4
AT2G23600,6,1
AT1G69740,5,4
AT2G17870,7,1
AT2G21060,4,1
AT5G17380,15,1
AT4G09320,3,1
AT2G44350,10,2
AT3G03960,10,3
AT2G16600,3,1
AT1G67280,8,1
AT1G20220,5,2
AT1G12050,10,1
AT5G07460,4,1
AT5G07470,0,1
AT1G73060,6,2
AT2G39800,14,3
AT2G47470,6,2
AT4G09670,6,2
AT1G13280,5,1
AT1G04690,7,1
AT4G29040,10,1
AT2G20140,10,1
AT1G48120,22,7
AT5G07440,8,2
AT5G18170,6,2
AT2G05920,12,4
AT1G07440,5,1
ATCG00480,9,2
AT3G16520,8,2
AT3G17810,7,2
AT1G76010,5,2
AT3G23700,4,3
AT3G22460,0,1
AT4G14880,6,1
AT5G54750,3,1
AT1G53280,3,4
AT4G10340,5,1
AT3G46970,11,5
AT5G61410,3,2
AT1G29880,10,4
AT1G79440,11,1
AT5G24400,6,1
AT5G46290,6,3
AT2G20270,3,1
AT2G37220,5,1
AT3G23990,12,1
AT2G33210,12,1
AT5G02530,5,1
AT1G20340,2,1
AT2G33150,9,1
AT4G14680,0,1
AT3G22890,9,1
AT1G48350,2,1
AT3G12290,5,1
AT4G24820,5,2
AT3G01340,3,2
AT1G07700,3,1
AT1G78670,6,1
AT5G24490,3,2
AT4G13940,7,2
AT3G23810,0,2
AT5G17560,2,1
AT4G25740,2,1
AT5G52650,2,1
AT1G78580,11,5
AT2G43030,4,1
AT2G44050,3,1
AT1G80410,16,2
AT1G72730,0,2
AT1G54270,5,2
AT3G13920,5,2
AT2G27040,6,7
AT1G31160,2,1
AT2G27190,8,1
AT2G05710,17,2
AT2G25080,3,1
AT1G80460,7,2
AT1G15340,6,1
AT2G38040,12,2
AT1G80480,5,2
AT2G20890,2,2
AT5G62530,7,2
AT5G23540,4,1
AT5G10860,2,1
AT4G38225,5,1
AT1G29150,6,1
AT5G57655,7,1
AT2G40840,12,3
AT1G08980,4,2
AT2G02740,3,1
AT5G20920,3,1
AT1G11840,4,1
AT5G64570,11,1
AT5G09700,0,1
AT2G29320,3,1
AT1G48600,5,2
AT2G27680,5,1
AT4G00570,7,2
AT3G06650,5,3
AT5G49460,0,3
AT3G25920,3,1
AT3G14067,10,2
AT3G27380,0,1
AT5G40650,3,1
AT2G29450,2,1
AT1G07320,3,1
AT3G18070,0,1
AT3G18080,7,1
AT3G11930,2,1
AT1G24100,6,1
AT5G49360,3,5
AT1G72550,6,2
AT3G18060,6,2
AT2G17130,0,1
AT4G35260,4,1
AT1G13270,4,1
AT4G36940,3,0
AT2G23420,3,3
AT5G57850,4,1
AT2G21170,3,1
AT4G13430,4,2
AT2G26930,2,2
AT3G57410,11,2
AT1G09070,3,1
AT3G56650,2,1
AT5G55070,3,2
AT5G66760,10,1
AT2G18450,5,1
AT3G05900,4,3
AT1G15470,0,1
AT3G15610,3,1
AT1G52730,0,1
AT4G28030,2,1
AT5G04360,10,2
AT4G14570,7,2
AT4G23920,3,1
AT4G35100,2,1
AT1G50480,7,1
AT3G19170,11,2
AT2G34840,0,1
AT1G30630,2,1
AT5G58330,2,2
AT5G28840,3,1
AT3G61220,2,1
AT5G09900,4,1
AT5G64760,0,1
AT5G16070,0,2
AT3G02530,3,2
AT3G02720,3,1
AT1G22430,3,1
AT3G21750,4,1
AT4G29590,2,1
AT3G11830,5,1
AT3G54660,5,1
AT2G14120,8,1
AT4G35830,9,1
AT4G32320,2,1
AT5G36880,7,1
AT5G30510,3,1
AT2G24270,4,1
AT4G09020,5,2
AT3G57560,2,1
AT1G48410,8,2
AT2G42520,5,1
AT3G58570,0,1
AT3G58510,5,1
AT5G60360,2,1
AT3G53460,2,1
AT4G29060,4,3
AT2G40490,2,1
AT1G21750,3,1
AT2G13560,4,1
AT3G53180,6,1
AT2G42600,5,2
AT1G04810,0,1
AT2G32730,7,1
AT3G22960,3,1
AT5G42650,2,1
AT1G29900,7,1
AT5G64050,2,1
AT4G05420,5,1
AT5G56290,2,1
AT4G31490,3,1
AT4G31480,3,1
AT5G40450,9,3
AT1G50200,3,1
AT3G44690,2,1
AT4G36280,65,0
AT1G75270,13,0
AT1G76180,11,0
AT1G69410,9,0
AT1G17860,11,0
AT1G19100,32,0
AT3G14415,18,0
AT3G49910,7,0
AT5G43330,15,0
AT5G34850,21,0
AT3G22060,11,0
AT3G56490,6,0
AT1G76680,16,0
AT4G21580,13,0
AT4G23670,6,0
AT5G47210,14,0
AT5G64250,13,0
AT3G49010,8,0
AT4G02770,8,0
AT1G60710,13,0
AT3G50820,12,0
AT5G10360,9,0
AT5G15200,7,0
AT3G63540,5,0
AT4G15802,3,0
AT2G18020,9,0
AT5G16970,12,0
AT2G09990,5,0
AT1G20440,9,0
AT4G11010,8,0
AT2G36880,13,0
AT5G24780,9,0
AT4G00100,5,0
AT3G55280,5,0
AT2G39460,5,0
AT5G09830,3,0
AT3G05560,4,0
AT5G16130,6,0
AT5G62690,14,0
AT5G62700,14,0
AT1G01080,9,0
AT1G17880,5,0
AT1G73230,5,0
AT1G32470,5,0
AT5G16450,5,0
AT3G02770,5,0
AT5G28060,4,0
AT5G16050,8,0
AT4G27090,4,0
AT3G12390,6,0
AT1G65930,12,0
AT5G42190,5,0
AT1G20010,13,0
