Protein,WT,WT.1,AT5G04940
AT1G55060,6,2,6
AT5G03240,0,2,0
AT5G37640,0,2,0
AT4G05320,0,2,0
AT4G05050,0,2,0
AT2G47110,7,2,9
AT4G02890,0,2,0
AT1G65350,0,2,0
AT3G52590,0,2,0
AT4G16830,6,0,6
AT2G27170,6,0,5
AT1G21750,10,5,14
AT4G35090,9,3,24
AT5G62700,9,4,15
AT5G62690,9,4,15
AT5G61790,7,2,13
AT3G26060,8,3,12
AT3G03780,6,2,8
AT1G24510,5,2,16
AT3G07030,9,0,6
AT3G56490,5,3,9
AT5G23860,0,0,9
AT1G67230,8,3,5
AT5G09650,8,6,9
AT5G60160,10,2,8
AT5G66570,4,0,4
AT4G27160,0,0,0
AT1G29150,6,2,12
AT4G24820,6,2,9
AT3G15980,15,0,14
AT4G05420,8,0,12
AT5G01600,8,0,12
AT5G22650,9,3,10
AT3G01500,5,0,10
AT4G08390,3,2,10
AT2G40300,6,2,9
AT5G26860,6,0,8
AT5G63840,10,0,15
AT3G14210,5,0,10
AT3G62530,4,0,10
AT1G75780,5,0,7
AT3G22640,0,0,0
AT4G23670,2,2,8
AT2G18960,0,0,0
AT3G47070,4,2,9
AT3G14067,8,3,5
AT4G27170,0,0,0
AT3G15190,3,3,6
AT4G16143,8,0,11
AT4G33090,7,2,3
AT5G46070,4,0,11
AT3G02200,7,0,12
AT5G44340,6,3,10
AT3G23810,4,2,13
AT5G66420,8,0,14
AT1G43170,8,3,4
AT1G07890,5,2,15
AT4G38970,8,3,13
AT4G17520,8,3,13
AT2G27040,8,0,14
AT3G55760,12,0,11
AT1G65010,11,3,12
AT5G58040,7,0,7
AT2G33340,8,0,6
AT5G23540,7,5,7
AT5G63110,10,0,13
AT4G34110,8,0,10
AT1G13020,8,3,6
AT4G38740,6,0,7
AT5G02870,4,3,4
AT5G06850,8,2,5
AT3G11400,9,2,10
AT5G04140,5,0,0
AT1G75940,7,0,7
AT3G53750,0,0,6
AT2G26080,4,0,10
AT1G72370,5,0,8
AT3G16640,4,2,8
AT5G09540,0,0,11
AT1G12310,4,2,6
AT4G30190,0,0,0
AT1G55860,14,0,8
AT2G39800,5,0,16
AT3G09630,2,3,2
AT5G12110,5,3,7
AT2G32080,10,0,9
AT5G23740,5,2,0
AT1G12900,9,0,9
AT1G76180,7,3,5
AT4G21100,6,0,8
AT1G24020,5,2,4
AT4G34860,10,3,8
AT1G64520,4,3,8
AT3G60830,8,2,8
AT3G26340,7,0,4
AT3G26650,8,0,9
AT5G09390,8,0,8
AT1G26630,5,0,6
AT5G56010,10,4,15
AT5G56030,10,4,15
AT5G11170,8,2,11
AT5G11200,8,2,11
AT1G04820,6,8,16
AT1G50010,6,8,16
AT1G20220,6,0,6
AT4G33010,5,2,17
AT3G04620,6,2,13
AT2G39990,7,0,12
AT3G14940,6,2,11
AT2G13360,5,0,10
AT1G74050,4,2,4
AT1G74060,4,2,4
AT3G01340,8,0,10
AT3G12780,8,2,7
