Protein,WT,AT3G52100,AT3G52100
AT1G53850,0,11,10
AT1G53850,0,11,10
AT3G14290,0,11,10
AT2G14120,0,10,10
AT2G14120,0,10,10
AT2G14120,0,10,10
AT1G12900,8,9,10
AT1G12900,8,9,10
AT1G12900,8,9,10
AT1G49760,3,8,10
AT1G49760,3,8,10
AT1G70580,2,8,10
AT1G70580,2,8,10
AT1G70580,2,8,10
AT1G70580,2,8,10
AT3G44320,6,8,10
AT1G06410,0,7,10
AT1G18080,3,7,10
AT2G42500,4,7,10
AT2G42520,0,7,10
AT3G57410,0,6,10
AT1G27090,3,5,10
AT1G51690,0,5,10
AT1G51690,0,5,10
AT2G30050,0,5,10
AT1G51690,0,4,10
AT2G38700,0,4,10
AT3G07100,0,4,10
AT3G11630,4,4,10
AT1G65440,0,14,9
AT3G60750,0,14,9
AT2G05840,0,13,9
AT1G50620,0,12,9
AT3G07770,0,12,9
AT3G29360,0,11,9
AT2G24270,2,10,9
AT2G24270,2,10,9
AT2G24270,2,10,9
AT2G24270,2,10,9
AT3G03780,0,10,9
AT1G09620,0,9,9
AT1G35580,0,9,9
AT1G35580,0,9,9
AT3G02930,0,8,9
AT3G53030,3,8,9
AT1G55860,0,7,9
AT1G79830,0,7,9
AT1G79830,0,7,9
AT1G79830,0,7,9
AT1G79830,0,7,9
AT2G05710,0,7,9
AT2G30110,0,7,9
AT2G47940,0,7,9
AT2G47940,0,7,9
AT1G09270,2,6,9
AT1G12230,0,6,9
AT1G12230,0,6,9
AT1G55090,0,6,9
AT1G65930,0,6,9
AT2G37040,0,6,9
AT2G41530,2,6,9
AT1G03630,0,5,9
AT1G03630,0,5,9
AT1G60420,2,5,9
AT2G23390,3,5,9
AT2G31610,0,5,9
AT3G15880,0,5,9
AT1G12910,0,4,9
AT1G68560,3,4,9
AT2G31390,0,4,9
AT3G55200,0,3,9
AT3G55220,0,3,9
AT1G69740,5,10,8
AT1G69740,5,10,8
AT1G79690,0,9,8
AT2G43770,0,8,8
AT3G18380,0,8,8
AT3G49680,0,8,8
AT1G17745,0,7,8
AT1G17745,0,7,8
AT1G52030,0,7,8
AT1G52030,0,7,8
AT1G60710,0,7,8
AT2G19520,0,7,8
AT2G36160,0,7,8
AT3G11510,0,7,8
AT3G16640,3,7,8
AT3G52580,0,7,8
AT3G55440,0,7,8
AT1G20260,0,6,8
AT1G23740,0,6,8
AT1G30580,0,6,8
AT1G47250,4,6,8
AT1G64520,0,6,8
AT1G70830,0,6,8
AT1G76030,0,6,8
AT2G27030,2,6,8
AT2G27030,2,6,8
AT2G41110,2,6,8
AT2G41110,2,6,8
AT3G56800,2,6,8
AT1G10840,0,5,8
AT1G11650,0,5,8
AT1G14810,0,5,8
AT1G48630,0,5,8
AT2G16780,0,5,8
AT2G24940,3,5,8
AT2G42500,4,5,8
AT3G11400,2,5,8
AT3G12145,4,5,8
AT3G13930,0,5,8
AT3G25530,2,5,8
AT3G62310,0,5,8
AT1G11650,0,4,8
AT2G45810,0,4,8
AT1G62380,0,3,8
AT2G33340,0,3,8
AT2G33340,0,3,8
AT2G22125,0,0,8
AT1G75950,3,9,7
AT2G33800,2,9,7
AT1G50200,2,8,7
AT1G50200,2,8,7
AT1G76550,0,8,7
AT2G27040,2,8,7
AT2G27040,2,8,7
AT2G42910,0,8,7
AT1G02690,0,7,7
AT1G18070,0,7,7
AT1G18070,0,7,7
AT1G18070,0,7,7
AT3G55120,0,7,7
AT1G01090,0,6,7
AT1G02690,0,6,7
AT1G66410,2,6,7
AT2G05990,0,6,7
AT2G05990,0,6,7
AT2G28790,0,6,7
AT3G16470,0,6,7
AT3G25520,0,6,7
AT3G55760,0,6,7
AT1G07360,0,5,7
AT1G19570,0,5,7
AT1G19570,0,5,7
AT1G48600,0,5,7
AT1G48600,0,5,7
AT1G69940,0,5,7
AT2G04842,0,5,7
AT2G17870,0,5,7
AT2G31570,0,5,7
AT3G17590,0,5,7
AT3G47370,0,5,7
AT3G60820,3,5,7
AT1G65450,0,4,7
AT2G06850,2,4,7
AT2G17360,2,4,7
AT3G10690,0,4,7
AT3G43190,0,4,7
AT3G44340,0,4,7
AT1G10670,0,3,7
AT1G10670,0,3,7
AT1G10670,0,3,7
AT1G10670,0,3,7
AT1G26630,3,3,7
AT1G73720,0,3,7
AT1G75940,0,3,7
AT2G45300,0,3,7
AT3G14100,0,3,7
AT3G22990,0,3,7
AT3G25920,0,2,7
AT2G47110,0,10,6
AT2G47110,0,10,6
AT3G62250,0,10,6
AT1G80480,0,9,6
AT3G48730,3,9,6
AT1G08520,0,8,6
AT1G29150,2,8,6
AT2G07732,0,8,6
AT2G21060,4,8,6
AT3G16110,0,8,6
AT3G51800,0,8,6
AT1G77510,0,6,6
AT2G27170,0,6,6
AT2G27170,0,6,6
AT3G27380,0,6,6
AT3G56490,0,6,6
AT1G13270,0,5,6
AT1G18500,0,5,6
AT1G47900,0,5,6
AT1G47900,0,5,6
AT2G13560,0,5,6
AT2G38230,0,5,6
AT2G41840,0,5,6
AT2G42810,0,5,6
AT2G42810,0,5,6
AT3G17810,0,5,6
AT3G48870,0,5,6
AT3G54670,0,5,6
AT3G54930,0,5,6
AT1G12310,0,4,6
AT1G13880,0,4,6
AT2G22400,0,4,6
AT2G42590,2,4,6
AT2G42590,2,4,6
AT3G07850,0,4,6
AT3G14040,0,4,6
AT1G07140,0,3,6
AT1G54080,0,3,6
AT1G54080,0,3,6
AT1G62940,0,3,6
AT2G33340,0,3,6
AT3G01780,0,3,6
AT3G46040,0,3,6
AT1G48860,0,2,6
AT1G52730,0,2,6
AT1G52730,0,2,6
AT2G02160,0,2,6
AT2G33150,4,2,6
AT1G11360,0,0,6
AT1G11360,0,0,6
AT1G11360,0,0,6
AT1G11360,0,0,6
AT1G48860,0,0,6
AT1G69200,0,0,6
AT1G02080,0,10,5
AT1G14610,0,8,5
AT1G21630,0,8,5
AT3G60770,0,8,5
AT1G67680,0,7,5
AT2G20420,0,7,5
AT2G46020,0,7,5
AT1G43690,0,6,5
AT2G18110,0,6,5
AT2G37660,3,6,5
AT3G09630,0,6,5
AT1G12840,0,5,5
AT1G22410,0,5,5
AT1G24020,0,5,5
AT1G24020,0,5,5
AT1G26570,0,5,5
AT1G66200,0,5,5
AT1G66200,0,5,5
AT1G74030,0,5,5
AT2G26060,0,5,5
AT2G29570,0,5,5
AT2G43090,2,5,5
AT2G44350,0,5,5
AT2G44350,0,5,5
AT3G45190,0,5,5
AT3G48000,0,5,5
AT1G06000,0,4,5
AT1G07370,0,4,5
AT1G53670,0,4,5
AT1G53670,0,4,5
AT2G09990,2,4,5
AT2G16440,0,4,5
AT2G16940,0,4,5
AT2G16940,0,4,5
AT2G16940,0,4,5
AT2G17410,0,4,5
AT2G17410,0,4,5
AT2G24200,0,4,5
AT2G24200,0,4,5
AT2G24200,0,4,5
AT2G41790,0,4,5
AT2G42590,0,4,5
AT2G47470,2,4,5
AT2G47470,2,4,5
AT2G47580,0,4,5
AT3G02780,0,4,5
AT3G14420,0,4,5
AT3G16060,0,4,5
AT3G59480,0,4,5
AT1G06900,0,3,5
AT1G07770,0,3,5
AT1G15340,0,3,5
AT1G15340,0,3,5
AT1G20220,0,3,5
AT1G50370,2,3,5
AT1G60810,0,3,5
AT1G62820,0,3,5
AT1G72550,0,3,5
AT1G72550,0,3,5
AT1G74470,0,3,5
AT2G02740,0,3,5
AT2G02740,0,3,5
AT2G14170,0,3,5
AT2G14170,0,3,5
AT2G24490,0,3,5
AT2G24490,0,3,5
AT2G32060,0,3,5
AT2G32060,0,3,5
AT2G32060,0,3,5
AT2G34810,0,3,5
AT2G47730,3,3,5
AT3G12780,0,3,5
AT3G14240,0,3,5
AT3G17760,0,3,5
AT3G58140,0,3,5
AT1G05520,0,2,5
AT1G10630,0,2,5
AT1G12780,0,2,5
AT1G12920,0,2,5
AT1G23490,0,2,5
AT1G26630,3,2,5
AT1G30680,0,2,5
AT1G49670,0,2,5
AT1G49670,0,2,5
AT1G70490,0,2,5
AT1G70490,0,2,5
AT1G70490,0,2,5
AT1G74260,0,2,5
AT2G37690,0,2,5
AT2G45600,0,2,5
AT2G47170,0,2,5
AT3G02770,0,2,5
AT3G16980,0,2,5
AT3G47520,0,2,5
AT3G62120,0,2,5
AT3G62290,0,2,5
AT1G20440,0,0,5
AT1G65150,0,0,5
AT1G65150,0,0,5
AT2G07690,0,0,5
AT2G07690,0,0,5
AT2G14260,0,0,5
AT2G14260,0,0,5
AT1G02080,0,10,4
AT1G31230,0,9,4
AT3G42850,0,9,4
AT1G21630,0,8,4
AT1G31340,2,8,4
AT3G01310,0,8,4
AT1G08830,2,7,4
AT1G08830,2,7,4
AT1G72150,0,7,4
AT2G43030,0,7,4
AT1G04690,2,6,4
AT1G32200,0,6,4
AT1G32200,0,6,4
AT2G34040,0,6,4
AT2G47610,0,6,4
AT3G50590,0,6,4
AT3G62870,0,6,4
AT1G13320,0,5,4
AT1G13320,0,5,4
AT1G13320,0,5,4
AT1G20760,0,5,4
AT1G58380,0,5,4
AT1G58684,0,5,4
AT1G58983,0,5,4
AT1G59359,0,5,4
AT1G63660,0,5,4
AT1G76810,0,5,4
AT1G79440,0,5,4
AT2G17390,0,5,4
AT2G22250,0,5,4
AT2G22250,0,5,4
AT2G22250,0,5,4
AT2G34040,0,5,4
AT2G47240,0,5,4
AT2G47240,0,5,4
AT2G47250,0,5,4
AT3G05420,0,5,4
AT3G12800,0,5,4
AT3G46440,0,5,4
AT1G12050,0,4,4
AT1G16350,0,4,4
AT1G16470,0,4,4
AT1G16470,0,4,4
AT1G19920,0,4,4
AT1G32060,0,4,4
AT1G34760,0,4,4
AT1G34760,0,4,4
AT1G68020,0,4,4
AT1G70830,0,4,4
AT1G71840,0,4,4
AT1G73380,0,4,4
AT1G73600,0,4,4
AT1G79210,0,4,4
AT1G79210,0,4,4
AT1G79210,0,4,4
AT1G79870,0,4,4
AT2G18020,0,4,4
AT2G25970,0,4,4
AT2G28760,0,4,4
AT2G34970,0,4,4
AT3G03570,0,4,4
AT3G06580,0,4,4
AT3G06860,0,4,4
AT3G08580,0,4,4
AT3G14310,0,4,4
AT3G14415,0,4,4
AT3G16170,0,4,4
AT3G25810,0,4,4
AT3G26340,0,4,4
AT3G47340,0,4,4
AT1G10430,2,3,4
AT1G13060,3,3,4
AT1G18210,0,3,4
AT1G18210,0,3,4
AT1G29370,2,3,4
AT1G48920,0,3,4
AT1G49430,0,3,4
AT1G49600,0,3,4
AT1G55500,0,3,4
AT1G55500,0,3,4
AT1G55500,0,3,4
AT1G56340,0,3,4
AT1G59830,2,3,4
AT1G68020,0,3,4
AT1G70060,0,3,4
AT1G74040,0,3,4
AT1G79340,0,3,4
AT2G02470,0,3,4
AT2G02470,0,3,4
AT2G14170,0,3,4
AT2G18040,0,3,4
AT2G28190,2,3,4
AT2G30200,0,3,4
AT2G37190,0,3,4
AT2G47640,0,3,4
AT2G47640,0,3,4
AT2G47640,0,3,4
AT2G47640,0,3,4
AT3G04840,3,3,4
AT3G06050,0,3,4
AT3G09980,0,3,4
AT3G17820,0,3,4
AT3G22220,0,3,4
AT3G25860,0,3,4
AT3G46170,0,3,4
AT3G51840,0,3,4
AT3G55020,0,3,4
AT3G62840,0,3,4
AT1G04530,0,2,4
AT1G12270,0,2,4
AT1G12520,0,2,4
AT1G12520,0,2,4
AT1G14410,0,2,4
AT1G15130,0,2,4
AT1G20920,0,2,4
AT1G22780,0,2,4
AT1G29350,2,2,4
AT1G33120,0,2,4
AT1G33140,0,2,4
AT1G34030,0,2,4
AT1G34430,0,2,4
AT1G35780,0,2,4
AT1G49630,0,2,4
AT1G49630,0,2,4
AT1G49630,0,2,4
AT1G76010,0,2,4
AT2G28470,0,2,4
AT2G28470,0,2,4
