Protein,AT3G01460,AT3G01460,WT
AT5G59370,5,5,6
AT5G60980,5,0,4
ATCG00470,5,4,5
ATCG00900,5,4,7
ATCG01240,5,4,7
AT1G03220,4,3,3
AT1G04820,4,9,5
AT1G06680,4,3,3
AT1G09100,4,10,5
AT1G13060,4,3,2
AT1G13880,4,3,0
AT1G14670,4,4,4
AT1G16470,4,3,4
AT1G21670,4,3,3
AT1G22780,4,5,2
AT1G29910,4,4,5
AT1G29920,4,4,5
AT1G29930,4,4,5
AT1G30230,4,8,0
AT1G32990,4,3,4
AT1G34030,4,5,2
AT1G48120,4,15,8
AT1G50010,4,9,5
AT1G51400,4,4,4
AT1G54780,4,6,5
AT1G56450,4,3,4
AT1G64200,4,0,0
AT1G64520,4,3,3
AT1G66270,4,7,7
AT1G70290,4,2,0
AT1G71500,4,2,4
AT1G75780,4,8,8
AT1G76010,4,0,2
AT1G78860,4,0,4
AT1G79210,4,3,5
AT1G80490,4,12,12
AT2G02740,4,2,2
AT2G03440,4,2,2
AT2G16780,4,3,3
AT2G27020,4,6,5
AT2G30860,4,3,2
AT2G30870,4,3,5
AT2G30950,4,5,5
AT2G34420,4,4,5
AT2G42100,4,4,5
AT2G47470,4,2,3
AT3G01290,4,10,7
AT3G03960,4,2,7
AT3G11510,4,3,2
AT3G12915,4,4,3
AT3G13750,4,6,4
AT3G15356,4,5,4
AT3G16400,4,5,7
AT3G16410,4,5,5
AT3G16530,4,6,5
AT3G20050,4,2,3
AT3G25520,4,3,3
AT3G48870,4,2,0
AT3G49010,4,4,0
AT3G52880,4,9,3
AT3G58510,4,3,3
AT4G03280,4,5,4
AT4G09000,4,3,2
AT4G09800,4,5,2
AT4G10480,4,4,2
AT4G14880,4,0,0
AT4G14960,4,8,5
AT4G16830,4,5,4
AT4G18360,4,3,4
AT4G27150,4,8,7
AT4G27160,4,8,8
AT4G35100,4,2,0
AT4G38130,4,2,4
AT5G01600,4,5,6
AT5G04140,4,8,3
AT5G07440,4,4,2
AT5G13510,4,4,3
AT5G14620,4,5,7
AT5G16990,4,5,4
AT5G23060,4,4,0
AT5G26742,4,4,0
AT5G42790,4,7,5
AT5G65770,4,3,5
AT5G65780,4,3,5
ATCG00280,4,4,3
ATCG00380,4,5,3
ATCG00830,4,2,3
ATCG01310,4,2,3
AT1G03130,3,7,2
AT1G06430,3,4,2
AT1G15340,3,0,0
AT1G15930,3,3,2
AT1G17100,3,0,2
AT1G17220,3,0,2
AT1G18270,3,3,6
AT1G18450,3,3,0
AT1G31330,3,3,3
AT1G35160,3,2,0
AT1G35680,3,0,0
AT1G47250,3,3,3
AT1G50250,3,5,2
AT1G54270,3,4,3
AT1G64740,3,2,0
AT1G64880,3,4,7
AT1G65930,3,7,4
AT1G67180,3,0,0
AT1G69830,3,2,4
AT1G72610,3,3,2
AT1G76860,3,0,0
AT1G77122,3,2,2
AT1G79040,3,2,4
AT2G16940,3,2,0
AT2G17930,3,6,0
AT2G18110,3,4,0
AT2G18960,3,8,7
AT2G22170,3,2,4
AT2G24060,3,5,4
AT2G32060,3,0,3
AT2G32730,3,3,2
AT2G33150,3,7,8
AT2G33410,3,0,3
AT2G36160,3,2,2
AT2G39800,3,7,2
AT2G41100,3,3,3
AT2G45960,3,4,2
AT2G46280,3,7,3
AT3G02530,3,6,3
AT3G03340,3,0,0
AT3G04620,3,5,5
AT3G06650,3,0,0
AT3G08510,3,2,2
AT3G08940,3,0,2
AT3G14310,3,3,3
AT3G14990,3,0,2
AT3G16460,3,8,7
AT3G23600,3,5,3
AT3G27830,3,4,3
AT3G27850,3,4,3
AT3G28730,3,3,5
AT3G44690,3,12,9
AT3G52150,3,3,3
AT3G53460,3,4,4
AT3G55440,3,4,5
AT3G55610,3,6,3
AT3G60080,3,6,3
AT3G60370,3,2,3
AT4G01850,3,2,0
AT4G02770,3,7,2
AT4G08390,3,4,3
AT4G09010,3,3,6
AT4G09320,3,4,4
AT4G15165,3,3,3
AT4G15790,3,0,0
AT4G16720,3,3,0
AT4G17390,3,3,0
AT4G17520,3,3,4
AT4G25140,3,0,0
AT4G28750,3,4,0
AT4G30270,3,6,0
AT4G31300,3,3,4
AT4G34450,3,3,0
AT4G34670,3,2,0
AT4G36080,3,3,0
AT4G37930,3,2,5
AT5G01410,3,4,5
AT5G01530,3,4,3
AT5G10160,3,2,0
AT5G10360,3,4,3
AT5G13850,3,2,2
AT5G14660,3,3,3
AT5G14910,3,2,0
AT5G16070,3,6,3
AT5G20010,3,0,5
AT5G20720,3,6,6
AT5G23120,3,2,4
AT5G35590,3,4,5
AT5G38480,3,5,2
AT5G39850,3,2,3
AT5G42270,3,6,2
AT5G43330,3,5,3
AT5G43940,3,2,3
AT5G46290,3,3,5
AT5G47210,3,6,5
AT5G49360,3,7,9
AT5G49460,3,0,0
AT5G50600,3,0,0
AT5G50700,3,0,0
AT5G50850,3,4,4
AT5G52640,3,0,0
AT5G53560,3,0,0
AT5G56000,3,3,4
AT5G56010,3,4,4
AT5G63840,3,3,3
AT5G64120,3,2,4
AT5G65430,3,2,2
AT5G67630,3,6,0
ATCG00270,3,3,3
ATCG00680,3,4,2
