Protein,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT3G12145,0,0,0,2,1,1
AT3G53750,0,0,0,2,1,1
AT3G26450,0,0,0,2,1,3
AT1G64880,0,0,4,1,1,1
AT1G23740,0,0,2,1,1,0
AT1G78630,0,0,2,1,1,0
AT1G01100,0,0,2,1,1,2
AT1G02500,0,0,1,1,1,0
AT1G32990,0,0,1,1,1,0
AT1G52030,0,0,1,1,1,0
AT2G29300,0,0,1,1,1,0
AT2G42910,0,0,1,1,1,0
AT3G06720,0,0,1,1,1,0
AT3G48420,0,0,1,1,1,0
AT5G11480,0,0,1,1,1,0
AT5G19440,0,0,1,1,1,0
AT1G76010,0,0,0,1,1,0
AT2G21170,0,0,0,1,1,0
AT2G37220,0,0,0,1,1,0
AT2G47940,0,0,0,1,1,0
AT3G22230,0,0,0,1,1,0
AT3G59970,0,0,0,1,1,0
AT4G26530,0,0,0,1,1,0
AT4G26840,0,0,0,1,1,0
AT5G10160,0,0,0,1,1,0
AT5G42190,0,0,0,1,1,0
AT5G55190,0,0,0,1,1,0
AT5G21274,0,0,0,1,1,1
AT5G24400,0,0,0,1,1,1
AT5G42980,0,0,0,1,1,1
AT3G29410,0,0,1,0,1,0
AT2G47510,0,0,1,0,1,2
AT5G20290,0,1,0,4,1,1
AT2G16600,0,1,2,2,1,1
AT2G41530,0,1,1,2,1,0
AT3G56490,0,1,4,1,1,2
AT1G32470,0,1,1,1,1,3
AT1G27970,0,2,4,1,1,3
AT1G62740,0,0,0,24,0,0
AT5G67630,0,0,0,21,0,0
AT2G25560,0,0,1,19,0,0
AT1G76290,0,0,0,16,0,0
AT3G18190,0,0,3,13,0,0
AT5G03920,0,0,0,13,0,0
AT2G25170,0,0,0,12,0,0
AT2G03190,0,0,0,8,0,0
AT3G11910,0,0,0,8,0,0
AT3G19980,0,0,0,8,0,0
AT2G32730,0,0,1,6,0,1
AT2G04030,0,0,0,6,0,0
AT5G42970,0,0,0,6,0,0
AT2G17360,0,0,1,5,0,1
AT1G60420,0,0,0,5,0,0
AT1G78900,0,0,0,5,0,0
AT3G22110,0,0,0,5,0,0
AT5G23540,0,0,0,5,0,0
ATCG00380,0,0,3,4,0,1
AT1G35680,0,0,2,4,0,1
AT2G40290,0,0,1,4,0,0
AT1G52740,0,0,0,4,0,0
AT3G42170,0,0,0,4,0,0
AT4G02570,0,0,0,4,0,0
AT5G09650,0,0,0,4,0,0
AT5G43010,0,0,0,4,0,0
AT3G44110,0,0,0,4,0,1
AT3G02780,0,0,2,3,0,0
AT1G62820,0,0,1,3,0,0
AT1G53750,0,0,0,3,0,0
AT1G64520,0,0,0,3,0,0
AT2G21390,0,0,0,3,0,0
AT3G19950,0,0,0,3,0,0
AT4G26390,0,0,0,3,0,0
AT5G22770,0,0,0,3,0,0
AT5G52640,0,0,0,3,0,0
AT5G59970,0,0,0,3,0,0
ATCG00500,0,0,0,3,0,0
AT2G47730,0,0,0,3,0,1
AT2G30810,0,0,0,3,0,2
AT1G12270,0,0,0,2,0,0
AT1G42980,0,0,0,2,0,0
AT1G50010,0,0,0,2,0,0
AT1G55490,0,0,0,2,0,0
AT1G56190,0,0,0,2,0,0
AT1G56450,0,0,0,2,0,0
AT1G68560,0,0,0,2,0,0
AT1G80480,0,0,0,2,0,0
AT2G25700,0,0,0,2,0,0
AT2G44060,0,0,0,2,0,0
AT3G03260,0,0,0,2,0,0
AT3G06860,0,0,0,2,0,0
AT3G20030,0,0,0,2,0,0
AT3G45190,0,0,0,2,0,0
AT3G54900,0,0,0,2,0,0
AT3G63460,0,0,0,2,0,0
AT4G23690,0,0,0,2,0,0
AT4G24820,0,0,0,2,0,0
AT4G34450,0,0,0,2,0,0
AT4G35800,0,0,0,2,0,0
AT5G19370,0,0,0,2,0,0
AT5G23290,0,0,0,2,0,0
AT5G26830,0,0,0,2,0,0
AT5G47350,0,0,0,2,0,0
AT5G50920,0,0,0,2,0,0
AT5G54770,0,0,0,2,0,0
AT5G56500,0,0,0,2,0,0
AT3G08770,0,0,0,2,0,1
AT3G22320,0,0,0,2,0,1
AT4G38740,0,0,0,2,0,1
AT5G01410,0,0,0,2,0,2
AT5G11520,0,0,0,2,0,3
AT1G77510,0,0,2,1,0,0
AT3G02520,0,0,2,1,0,0
AT5G40370,0,0,2,1,0,1
AT1G02930,0,0,1,1,0,0
AT1G79550,0,0,1,1,0,0
AT2G41840,0,0,1,1,0,0
AT5G50850,0,0,1,1,0,0
AT1G35160,0,0,1,1,0,1
AT3G23810,0,0,1,1,0,1
AT1G13880,0,0,0,1,0,2
AT2G44310,0,0,0,1,0,2
ATCG01060,0,0,0,1,0,2
AT1G41880,0,0,2,0,0,0
AT1G62750,0,0,2,0,0,0
AT3G25860,1,0,3,17,15,4
AT3G26650,1,1,10,14,10,4
AT5G02790,1,1,7,4,10,4
AT3G01500,1,0,8,11,9,5
AT3G12780,1,0,5,7,9,5
AT3G25530,1,0,8,3,8,2
AT3G13490,1,0,2,3,8,2
AT1G70600,1,1,5,9,8,8
AT2G28000,1,0,6,42,7,2
AT2G13360,1,0,4,7,7,3
AT4G13940,1,0,3,1,7,2
AT4G25130,1,2,3,7,7,6
AT1G30230,1,0,5,13,6,1
AT1G32060,1,1,7,17,6,4
AT1G24020,1,0,7,7,5,6
AT3G20210,1,0,6,9,4,3
AT5G38480,1,0,11,7,4,5
AT1G19570,1,0,3,6,4,1
AT1G56340,1,0,2,5,4,1
AT2G35635,1,1,5,19,4,3
AT2G01520,1,1,1,9,4,4
AT2G24940,1,1,4,6,4,6
AT2G37040,1,1,0,3,4,2
AT5G19780,1,0,1,8,3,0
AT1G69740,1,0,4,7,3,3
AT1G02780,1,0,2,7,3,3
AT1G59359,1,0,4,6,3,2
AT1G18540,1,0,1,4,3,3
AT2G21330,1,0,2,3,3,0
AT4G05180,1,0,4,2,3,1
AT3G24830,1,0,2,2,3,0
AT5G26710,1,0,1,2,3,0
AT1G06680,1,0,4,1,3,2
AT1G09340,1,1,2,9,3,0
AT5G06850,1,2,2,3,3,0
AT3G51240,1,0,4,8,2,6
AT3G14420,1,0,0,6,2,2
AT1G53240,1,0,3,5,2,2
AT2G47610,1,0,2,3,2,0
AT5G11710,1,0,4,1,2,2
AT5G45930,1,0,1,1,2,0
AT5G66570,1,0,1,1,2,0
AT5G02450,1,1,2,3,2,2
AT5G06290,1,1,0,3,2,1
AT1G08520,1,0,4,5,1,0
AT4G34870,1,0,1,5,1,1
AT4G29270,1,0,5,3,1,3
AT1G36240,1,0,2,3,1,0
AT1G23820,1,0,2,3,1,1
AT5G47700,1,0,0,3,1,0
AT5G55070,1,0,3,2,1,2
AT1G04690,1,0,2,2,1,0
AT5G42020,1,0,1,2,1,1
AT3G62030,1,0,0,2,1,0
AT4G37910,1,0,0,1,1,0
AT3G04470,1,0,1,0,1,3
AT4G09000,1,1,0,1,1,2
AT5G08640,1,0,0,2,0,0
AT1G48120,2,1,11,14,18,7
AT4G24280,2,1,12,35,17,4
AT1G04410,2,0,7,11,16,7
AT1G20020,2,0,11,10,12,4
AT5G46810,2,3,9,12,12,10
AT1G47128,2,0,0,9,10,5
AT3G52930,2,1,4,4,8,3
AT5G24420,2,1,6,8,7,13
AT1G20630,2,0,2,4,6,1
AT1G14320,2,3,8,9,6,3
AT4G29350,2,3,2,3,6,3
AT2G28190,2,0,3,6,5,7
AT3G55280,2,0,1,5,5,2
AT2G19760,2,2,4,7,5,3
AT2G27530,2,0,6,10,4,5
AT5G44340,2,0,3,5,4,2
AT3G53020,2,0,3,4,4,2
AT3G07110,2,1,2,2,3,7
AT5G22580,2,0,3,7,2,2
AT5G24770,2,0,7,4,2,3
AT4G10480,2,0,1,4,2,3
AT5G10360,2,0,1,2,2,1
AT3G28500,2,1,4,6,2,4
AT3G53740,2,0,5,3,1,1
AT1G02980,2,0,0,4,0,0
AT3G44300,3,8,2,10,20,5
AT5G26000,3,1,16,11,18,6
AT4G14960,3,0,11,36,17,6
AT2G28790,3,5,7,9,12,13
AT2G24270,3,0,3,7,9,4
AT4G08390,3,1,12,7,9,6
AT5G60390,3,0,8,11,8,2
AT5G39280,3,0,5,8,8,5
AT2G34480,3,2,5,9,8,4
AT3G04120,3,0,8,10,7,5
AT1G54270,3,1,8,15,6,3
AT1G74060,3,0,5,8,4,5
AT5G35630,3,0,2,4,4,0
AT4G20360,3,0,1,3,4,0
AT5G66190,3,0,5,5,3,2
AT3G49910,3,0,3,2,3,5
AT2G19520,3,0,0,1,3,3
AT1G69620,3,0,3,7,2,4
AT4G21860,3,0,1,5,2,2
AT5G62700,4,0,22,79,30,18
AT5G17920,4,1,16,25,20,8
AT3G13470,4,1,14,53,19,8
AT3G55800,4,1,9,10,19,10
AT4G38970,4,5,5,9,14,12
AT1G52400,4,3,7,8,8,6
AT2G36530,4,0,3,8,7,6
AT1G52570,4,0,2,5,7,2
AT5G35200,4,1,7,3,7,2
AT3G09200,4,0,3,7,6,1
