Protein,AT1G17770,AT1G17770,AT2G24740,AT2G24740,WT,WT
AT3G55220,0,3,0,0,0,0
AT3G51780,0,3,0,0,0,0
AT2G40290,0,3,0,0,0,0
AT2G27700,0,3,0,0,0,0
AT2G20760,0,3,0,0,0,0
AT2G20560,0,3,0,0,0,0
AT1G77650,0,3,0,0,0,0
AT1G76160,0,3,0,0,0,0
AT1G76080,0,3,0,0,0,0
AT1G64040,0,3,0,0,0,0
AT1G60420,0,3,0,0,0,0
AT1G17720,0,3,0,0,0,0
AT1G13060,0,3,0,0,0,0
AT1G12180,0,3,0,0,0,0
AT1G09620,0,3,0,0,0,0
AT1G04810,0,3,0,0,0,0
AT1G02770,0,3,0,0,0,0
AT1G02580,0,3,0,0,0,0
AT2G36160,0,3,0,1,0,0
AT1G29880,0,3,0,1,0,0
AT4G39960,0,4,0,0,0,0
AT4G34110,0,4,0,0,0,0
AT4G27890,0,4,0,0,0,0
AT4G22740,0,4,0,0,0,0
AT4G11260,0,4,0,0,0,0
AT3G42170,0,4,0,0,0,0
AT3G20030,0,4,0,0,0,0
AT2G46240,0,4,0,0,0,0
AT2G33340,0,4,0,0,0,0
AT2G23350,0,4,0,0,0,0
AT1G65330,0,4,0,0,0,0
AT1G65150,0,4,0,0,0,0
AT1G50370,0,4,0,0,0,0
AT1G42980,0,4,0,0,0,0
AT1G18500,0,4,0,0,0,0
AT5G58290,0,5,0,0,0,0
AT4G34450,0,5,0,0,0,0
AT4G26390,0,5,0,0,0,0
AT3G60820,0,5,0,0,0,0
AT3G51260,0,5,0,0,0,0
AT3G05530,0,5,0,0,0,0
AT1G65990,0,5,0,0,0,0
AT1G59500,0,5,0,0,0,0
AT1G53750,0,5,0,0,0,0
AT1G47250,0,5,0,0,0,0
AT1G20200,0,5,0,0,0,0
AT1G01730,0,5,0,0,0,0
AT3G58500,0,6,0,0,0,0
AT1G29350,0,6,0,0,0,0
AT1G20240,0,6,0,0,0,0
AT5G07220,0,7,0,0,0,0
AT2G42810,0,7,0,0,0,0
AT1G20010,0,7,0,0,0,0
AT1G18080,0,7,0,0,0,0
AT1G12270,0,7,0,0,0,0
AT1G08600,0,7,0,0,0,0
ATCG00800,0,8,0,0,0,0
AT4G35800,0,8,0,0,0,0
AT4G21710,0,8,0,0,0,0
AT2G27020,0,8,0,0,0,0
AT5G53150,0,9,0,0,0,0
AT4G05420,0,9,0,0,0,0
AT4G02570,0,9,0,0,0,0
AT3G25230,0,9,0,0,0,0
AT2G31610,0,10,0,0,0,0
AT1G02980,0,17,0,0,0,0
AT5G03920,0,19,0,0,0,0
AT5G52640,0,20,0,0,0,0
AT3G58610,0,1,0,0,0,1
AT3G16520,0,1,0,0,0,1
AT3G16470,0,1,0,0,0,1
AT1G16030,0,8,0,0,0,1
AT5G47880,0,0,0,0,0,2
AT1G54870,0,0,0,0,0,2
AT2G16600,0,0,0,0,0,3
AT1G77120,0,0,0,0,0,6
ATCG00330,1,1,0,0,0,0
AT5G54770,1,1,0,0,0,0
AT5G44340,1,1,0,0,0,0
AT5G15650,1,1,0,0,0,0
AT5G10360,1,1,0,0,0,0
AT4G24190,1,1,0,0,0,0
AT4G02230,1,1,0,0,0,0
AT3G06860,1,1,0,0,0,0
AT1G66200,1,1,0,0,0,0
AT1G03130,1,1,0,0,0,0
AT5G43960,1,2,0,0,0,0
AT4G29060,1,2,0,0,0,0
AT3G24170,1,2,0,0,0,0
AT1G23740,1,2,0,0,0,0
AT1G14410,1,2,0,0,0,0
AT1G12900,1,2,0,0,0,0
AT1G06410,1,2,0,0,0,0
AT1G11840,1,2,0,1,0,0
AT5G10450,1,3,0,0,0,0
AT4G24280,1,3,0,0,0,0
AT3G13470,1,3,0,0,0,0
AT2G23390,1,3,0,0,0,0
AT1G30580,1,3,0,0,0,0
AT1G22410,1,3,0,0,0,0
AT2G36460,1,4,0,0,0,0
AT1G62750,1,4,0,1,0,0
AT1G72150,1,5,0,0,0,0
AT1G33120,1,5,0,0,0,0
AT5G19510,1,6,0,0,0,0
AT5G22330,1,17,0,0,0,0
AT1G76290,1,38,0,0,0,0
AT1G68560,1,3,0,0,0,1
AT1G79440,1,4,0,1,0,1
AT5G51750,1,7,0,0,0,1
AT5G48300,1,0,0,0,0,2
AT5G63310,2,1,0,1,0,0
AT3G06650,2,2,0,0,0,0
AT2G06850,2,2,0,0,0,0
AT3G20820,2,3,0,0,0,0
AT3G12800,2,3,0,0,0,0
AT1G53240,2,3,0,1,0,0
AT4G39330,2,4,0,1,0,0
AT1G72370,2,8,0,0,0,0
AT3G55120,2,1,0,0,0,1
AT5G26742,2,2,0,0,0,1
AT1G02930,3,3,0,0,0,0
AT1G48030,3,6,0,0,0,0
AT5G65730,3,6,0,0,0,1
AT2G17360,4,11,0,3,0,3
AT1G62740,5,31,0,0,0,0
AT2G25560,10,23,0,0,0,0
AT4G20360,6,7,9,3,1,2
AT3G09840,3,21,7,1,1,3
AT3G05590,2,2,6,1,1,1
AT4G34870,2,4,6,1,1,1
AT2G39800,8,3,6,1,1,2
AT1G04410,4,8,5,2,1,4
AT5G04140,6,14,5,1,1,2
AT2G33150,0,3,4,0,1,3
AT5G03650,1,1,4,0,1,0
AT4G39660,1,2,4,0,1,0
AT4G16500,3,4,4,1,1,0
AT1G32060,6,2,4,2,1,2
AT5G09590,7,19,4,2,1,2
AT5G19550,0,2,3,2,1,2
AT4G14960,1,1,3,1,1,3
AT2G41530,2,1,3,2,1,1
AT5G56740,3,2,3,0,1,1
AT1G59359,4,6,3,0,1,0
AT5G50920,4,11,3,0,1,0
AT5G48760,0,1,2,0,1,0
AT4G35830,0,3,2,2,1,0
AT4G31180,0,4,2,0,1,0
AT4G29040,0,11,2,0,1,0
AT1G57720,0,4,2,0,1,2
AT2G47470,1,1,2,0,1,0
AT4G24130,1,3,2,0,1,0
AT4G29840,1,1,2,0,1,1
AT2G27720,1,4,2,0,1,1
AT4G01850,1,4,2,1,1,2
AT3G56910,2,3,2,0,1,0
AT1G22300,2,5,2,2,1,0
AT3G13930,2,3,2,1,1,1
AT5G60670,2,0,2,2,1,4
AT4G34670,3,6,2,3,1,0
AT3G22110,3,8,2,2,1,0
AT1G48410,3,12,2,1,1,0
AT2G38040,4,10,2,0,1,0
AT4G31700,8,8,2,0,1,1
AT5G16050,0,3,1,1,1,0
AT4G37910,0,10,1,0,1,0
AT1G52030,0,5,1,1,1,1
AT4G29010,0,7,1,1,1,1
AT5G20890,0,21,1,1,1,1
AT2G38230,1,1,1,0,1,0
AT3G47070,1,2,1,2,1,0
AT1G06680,2,2,1,1,1,0
AT3G48730,2,5,1,1,1,0
AT3G55440,2,6,1,0,1,0
AT3G11630,2,5,1,1,1,1
AT2G37040,3,1,1,0,1,0
AT2G20420,3,2,1,1,1,0
AT2G21330,3,7,1,1,1,0
AT3G45140,3,6,1,0,1,1
AT4G10320,3,9,1,1,1,2
AT4G25140,4,1,1,2,1,0
AT1G09640,4,11,1,0,1,1
AT2G41840,7,7,1,2,1,4
AT3G52880,0,2,0,0,1,0
AT4G38630,0,4,0,0,1,0
AT5G48880,0,5,0,0,1,0
AT2G04030,0,5,0,0,1,0
AT2G21390,0,6,0,0,1,0
AT5G02450,0,1,0,0,1,1
AT1G71220,0,5,0,0,1,2
ATCG00790,1,1,0,0,1,0
AT5G63840,1,1,0,0,1,0
AT1G19570,1,5,0,0,1,0
AT3G25220,1,1,0,0,1,1
AT3G63140,1,2,0,1,1,1
AT2G01140,1,2,0,2,1,1
AT3G54470,2,4,0,0,1,0
AT1G35680,2,1,0,1,1,1
AT3G62030,2,3,0,1,1,1
AT5G43010,2,16,0,0,1,3
AT4G05180,3,1,0,1,1,1
AT5G19780,4,1,0,1,1,6
AT2G33210,9,39,61,38,2,3
AT2G13360,2,3,5,1,2,6
AT2G24270,5,7,5,3,2,2
AT1G68010,0,7,4,1,2,3
AT2G27040,2,3,4,1,2,0
AT4G13930,2,6,4,2,2,3
AT3G18740,4,7,4,1,2,1
AT1G52570,4,7,4,0,2,4
AT1G78900,5,13,4,3,2,2
AT1G47970,0,1,3,2,2,3
AT5G20830,1,1,3,0,2,1
AT3G53020,2,6,3,1,2,4
AT2G47510,3,5,3,2,2,0
AT1G24020,3,4,3,2,2,1
AT5G24420,3,3,3,3,2,2
AT5G24770,4,2,3,2,2,0
AT1G34430,4,4,3,0,2,3
AT5G20290,6,9,3,5,2,0
AT1G76010,6,6,3,1,2,1
AT2G29550,0,11,2,0,2,0
AT3G60300,1,2,2,1,2,0
AT1G27090,1,3,2,0,2,0
AT5G08280,3,4,2,0,2,0
AT1G04690,3,7,2,1,2,2
AT1G23310,3,6,2,2,2,6
AT2G05990,4,4,2,1,2,3
ATCG00120,10,21,2,2,2,1
AT2G30810,1,5,1,4,2,0
ATCG00660,1,5,1,1,2,1
ATCG00380,1,1,1,1,2,2
AT3G23450,2,2,1,2,2,1
AT5G63110,3,8,1,2,2,3
AT3G09980,0,3,0,0,2,0
AT5G23900,1,2,0,0,2,0
AT5G59970,1,4,0,2,2,0
AT5G08690,1,5,0,0,2,0
AT1G09310,1,5,0,1,2,0
AT2G47610,1,3,0,3,2,2
AT3G54050,2,2,0,0,2,1
AT3G24830,4,9,10,3,3,4
AT3G08530,8,21,7,1,3,4
AT1G42970,12,17,7,3,3,5
AT4G33010,5,10,6,2,3,5
AT4G29270,9,6,6,1,3,3
AT1G52300,1,0,5,1,3,1
AT5G35200,5,12,5,0,3,3
AT2G34480,3,4,4,2,3,1
AT3G25920,6,6,4,8,3,5
AT3G23600,10,6,4,3,3,4
AT3G16640,5,5,3,1,3,2
AT3G26650,7,6,3,3,3,4
AT5G49910,3,30,2,1,3,3
AT1G47710,1,1,1,0,3,0
AT3G22230,1,6,1,3,3,2
AT5G15200,1,9,1,0,3,2
AT2G43030,2,2,1,5,3,0
AT2G21660,5,5,1,1,3,2
AT3G48930,0,3,0,0,3,0
AT1G20220,1,1,0,0,3,0
AT3G51240,3,2,0,2,3,0
AT1G29250,3,6,0,0,3,0
AT2G27100,3,4,0,0,3,1
AT3G55800,3,8,0,1,3,1
AT3G14420,10,10,9,5,4,5
AT4G37800,15,17,9,8,4,6
AT1G11860,4,8,8,2,4,7
AT1G20020,9,5,8,3,4,1
AT1G55490,14,43,7,6,4,6
AT3G07110,1,4,5,3,4,1
AT1G65930,3,11,5,1,4,4
AT1G69620,4,4,5,7,4,4
AT5G11170,5,6,5,1,4,3
AT3G09820,5,6,5,1,4,5
AT3G09200,10,6,5,4,4,7
AT5G11520,1,3,4,1,4,1
AT2G36880,3,9,4,3,4,4
AT5G66190,5,13,4,2,4,5
AT5G02870,3,5,3,3,4,4
AT3G18780,2,6,2,1,4,3
AT1G18540,3,3,2,4,4,1
AT4G09320,7,11,2,4,4,1
AT1G61850,14,6,40,2,5,19
AT4G05050,14,40,28,14,5,3
AT3G17390,9,13,15,4,5,6
AT3G12780,7,12,8,2,5,9
AT1G13440,8,8,7,4,5,8
AT5G02530,3,2,5,0,5,0
AT3G26060,3,9,5,4,5,1
AT3G53740,5,4,5,3,5,2
AT5G55190,6,9,5,2,5,3
AT1G02780,2,8,4,5,5,1
AT3G25860,5,13,4,1,5,4
AT5G43940,2,7,3,1,5,2
AT5G26710,6,16,3,3,5,1
AT3G20210,7,9,3,5,5,3
AT2G27530,8,8,2,4,5,6
AT1G78630,10,9,2,2,5,1
ATCG01310,13,6,2,4,5,6
AT4G16155,2,5,1,3,5,2
AT2G18020,10,13,13,8,6,9
AT1G09340,6,12,10,5,6,5
AT1G26630,6,12,9,4,6,6
AT4G31990,6,6,8,0,6,4
AT5G39570,7,11,8,6,6,0
AT1G14320,7,8,8,6,6,3
AT5G56010,13,64,8,7,6,2
AT4G12960,5,9,6,4,6,6
AT3G60750,11,12,6,3,6,5
AT5G06850,13,14,6,3,6,7
AT5G13930,1,5,4,2,6,0
AT1G52400,5,13,4,6,6,2
AT1G74060,7,7,4,4,6,4
AT1G07890,6,9,3,7,6,8
AT3G13920,4,18,9,3,7,9
AT2G19520,3,6,7,5,7,1
AT1G20630,3,5,7,5,7,5
AT1G67090,10,6,7,6,7,6
AT3G25530,6,1,5,4,7,4
AT2G36530,6,8,5,2,7,8
AT2G28000,4,31,4,3,7,0
AT3G55280,2,5,3,6,7,3
AT4G15000,5,12,3,9,7,12
AT3G49910,7,11,3,5,7,5
AT1G70600,5,8,2,5,7,6
AT5G27850,9,11,15,9,8,11
AT2G28790,6,10,12,12,8,6
AT5G60100,7,11,9,7,8,2
AT1G08360,7,17,8,6,8,5
AT5G11710,9,7,3,4,8,6
AT4G25130,4,4,15,4,9,3
AT5G60390,15,30,15,8,9,17
AT2G39730,14,32,9,4,9,7
AT5G25980,9,10,5,1,9,4
AT5G39280,10,9,5,4,9,12
AT1G69740,7,15,3,4,9,3
AT4G33680,10,21,14,14,10,12
AT3G09440,15,25,12,3,10,4
AT3G49010,9,19,9,10,10,10
AT5G49460,4,18,5,2,10,3
AT5G36160,9,21,18,8,11,11
AT1G50010,9,22,11,3,11,8
AT4G13940,7,19,9,9,11,6
AT4G21280,11,18,9,5,11,10
AT4G16720,9,11,7,14,11,11
AT5G24780,8,12,6,6,11,6
AT2G32080,8,15,4,7,11,7
AT3G52930,10,24,14,6,12,9
AT3G01500,17,14,11,8,12,6
AT3G62870,8,22,8,14,12,7
AT4G38970,13,13,8,9,12,5
AT5G62690,14,45,21,9,13,16
AT3G44300,7,8,20,7,14,17
AT4G08390,11,13,5,5,14,8
AT4G35090,7,16,15,7,15,13
AT5G17920,10,13,7,3,15,14
AT3G44320,28,12,54,9,16,15
AT5G02500,31,47,27,11,16,17
AT1G43170,23,24,18,9,16,20
AT5G38410,10,17,13,11,17,13
AT5G09810,19,23,13,10,17,15
AT3G09630,17,20,20,16,18,15
AT1G71080,18,23,18,9,20,13
AT5G26000,20,25,10,9,20,15
AT2G17630,17,9,9,7,20,18
AT1G48120,18,22,29,12,21,21
AT1G56070,15,56,29,16,22,20
AT5G42020,25,49,23,15,22,17
AT2G29560,13,21,29,12,23,26
AT5G46810,11,18,8,13,24,16
AT5G02490,153,525,192,98,26,34
AT1G20620,26,33,35,14,26,43
AT3G44690,94,76,32,41,46,20
AT4G35630,50,56,50,22,50,69
AT1G19480,73,70,90,46,72,129
AT3G08590,99,84,60,55,96,98
ATCG00490,119,102,101,63,101,113
AT3G15730,111,124,123,81,102,134
AT5G52040,409,271,138,125,193,136
